10898,693
10898,694
3509,2785
3509,2562
3509,666
3509,2184
3509,20
15789,2761
15789,2756
15789,1928
15789,1952
15789,2759
291270,2320
291270,1100
291270,2265
291270,1087
291270,1887
291270,1886
385103,2781
385103,2780
26505,161
26505,227
26505,2273
26505,794
26505,447
26505,2444
149871,2377
149871,1077
149871,1273
149871,1661
149871,1770
149871,2452
149871,2437
774825,285
774825,2761
170687,1375
83389,2377
83389,1077
83389,1660
83389,1273
151960,2761
151960,694
399106,1949
399106,2761
258509,2460
258509,908
258509,2055
258509,259
258509,2415
454640,2096
454640,549
454640,2289
454640,2097
9994,2238
9994,2761
227973,367
227973,6
227973,5
65759,709
65759,2722
65759,1303
65759,2780
65759,140
43641,611
43641,2786
43641,2772
43641,612
40662,2772
40662,611
123025,611
123025,2786
123025,612
123025,2772
12233,2761
12233,2239
12233,2759
585511,2257
585511,2258
55931,2236
55931,1536
55931,2780
55931,681
55931,2135
42949,794
42949,161
42949,227
446894,2781
446894,2780
446894,2852
10715,2772
10715,264
10715,1022
10715,1463
10715,2780
126963,272
126963,2582
126963,941
126963,2225
126963,2583
126963,912
126963,347
126963,2830
126963,273
126963,2284
16577,2408
16577,1188
16577,2519
18491,959
18491,2892
18491,2319
18491,2475
18491,1993
18491,1282
18491,2583
18491,2115
10010,694
15165,1547
460793,2761
618344,2772
618344,612
315465,1770
315465,2366
315465,2452
315465,2696
315465,2878
315465,2842
315465,609
315465,2165
315465,1663
315465,2212
2114,503
2114,2313
2114,2314
2114,549
142061,611
142061,2786
142061,612
142061,2772
539681,2781
539681,612
539681,2196
539681,140
539681,2780
10228,1802
10228,2217
10228,2475
10228,1937
10228,1598
10228,594
10228,1761
10228,960
10228,746
10228,2215
14128,2757
14128,693
504253,39
504253,154
504253,746
504253,949
504253,2394
504253,2584
504253,2523
504253,1064
137116,1304
137116,549
137116,2289
347201,1935
347201,2382
347201,154
347201,270
347201,266
347201,2878
347201,2225
347201,2475
347201,2452
51052,549
51052,2289
51052,66
110416,679
110416,331
110416,462
110416,2417
110416,1539
110416,1775
110416,2352
110416,955
110416,1614
110416,2365
13179,694
13179,1981
20760,693
20760,694
20760,2761
664767,2772
9906,624
9906,1958
9906,1398
9906,2780
560057,1737
263109,66
263109,159
263109,2365
263109,1449
13761,693
667520,2368
170522,447
170522,1498
170522,1499
170522,320
170522,1640
170522,527
170522,1497
170522,2126
170522,2740
170522,434
4978,118
4978,2685
4978,2404
359983,693
359983,1618
393559,1062
393559,2082
393559,368
393559,1275
393559,2030
393559,2133
393559,226
393559,921
393559,1151
560050,1913
560050,1246
560050,1002
37933,2377
37933,2766
37933,2879
37933,967
37933,1077
37933,1660
37933,1749
37933,1770
37933,2452
37933,2761
10539,110
10539,2761
630656,2772
630656,612
77459,794
77459,327
77459,921
77459,2754
586940,2396
586940,226
49948,2761
550205,2289
550205,2516
550205,290
550205,312
550205,884
550205,549
18269,693
13417,693
13417,2761
13417,694
16119,694
337703,2799
337703,2803
337703,1985
337703,320
337703,433
337703,57
337703,2377
337703,447
337703,792
337703,527
639721,1625
639721,395
639721,323
639721,524
639721,1772
15015,1547
11135,2761
11135,2240
11135,2759
675445,2308
675445,1752
675445,1886
675445,1640
675445,766
10957,2238
10957,2761
10957,2763
50359,1183
50359,2685
13690,2289
13690,2054
13690,2292
75258,694
75258,1981
13930,1949
268531,718
268531,5
527729,1499
527729,1498
527729,447
527729,434
527729,1431
527729,1640
527729,1799
527729,1371
527729,2740
9385,2399
9385,638
9385,1423
514754,1949
420821,2761
420821,1557
592350,246
592350,2878
592350,2892
592350,1770
592350,2225
592350,2284
592350,2842
592350,2452
592350,2454
810693,1503
810693,2225
810693,2409
810693,1506
810693,2882
810693,2452
13654,693
351044,722
351044,1187
13398,1536
13398,2288
13398,2878
13398,962
14873,694
877269,2761
877269,2758
13002,1547
13002,1587
13929,1949
13929,2761
15657,694
647,2132
647,2314
647,2315
474395,2772
474395,612
16234,2772
16234,611
21348,1402
21348,1679
21348,921
21348,2027
242643,2772
242643,2786
242643,611
242643,612
755812,2854
755812,1624
755812,2105
755812,2442
755812,1007
755812,1783
755812,2646
755812,2558
15016,1547
15016,1585
441130,462
441130,1614
441130,2704
441130,850
441130,955
441130,391
441130,1105
441130,447
441130,2031
441130,1799
286192,1949
1273,1188
1273,2559
1273,2780
1273,1656
11639,1167
11639,2538
11639,2685
7450,645
7450,909
7450,5
486589,2231
486589,1745
486589,1460
486589,876
217993,612
217993,2772
217993,611
92321,379
408220,2772
408220,612
408220,611
72197,66
9907,1800
9907,1752
9907,1886
9907,1830
82881,2758
82881,2761
15167,2039
15167,1585
9904,2761
9904,413
9904,571
9904,1139
9904,1754
9904,2247
14919,2777
251519,611
251519,612
251519,2772
251519,2786
455661,2080
24480,1949
13648,416
13648,2288
13648,678
297270,694
192577,2582
192577,1580
15080,2377
15080,2375
507569,34
12610,572
12610,2772
12610,2780
11497,1017
11497,2404
11497,700
11497,1625
13676,694
274862,1444
274862,1464
274862,2711
274862,2781
274862,1358
274862,2780
250480,2763
13313,693
13042,1949
13042,2761
926899,1748
505262,246
505262,2842
505262,2225
505262,1770
505262,2878
505262,2284
505262,2892
505262,2452
505262,2454
16366,2683
16366,718
16366,721
175112,694
256835,1949
256835,2761
25475,694
25475,1981
118406,2878
118406,154
118406,2225
118406,2475
118406,1935
118406,2452
118406,278
22586,2075
15283,2377
13205,694
15371,2589
615774,2772
13377,2529
13377,1515
13377,1512
8885,386
8885,1413
8885,2046
8885,1169
8885,2461
8885,56
8885,2829
